dominio,imagen,filtro,ruido_rel,epi,ssim,fom
tiroides,tiroides_703.png,media k=3,0.17043362287537786,0.46182969212532043,0.8947477513713639,0.3831183845449817
tiroides,tiroides_703.png,media k=5,0.11929957756228472,0.010751965455710888,0.780547243857278,0.009469260518880302
tiroides,tiroides_703.png,mediana k=3,0.49339649260987756,0.6882827877998352,0.9118767436406783,0.3486864743756479
tiroides,tiroides_703.png,mediana k=5,0.33189678797118255,0.5752519369125366,0.8234415159862681,0.3843276667770644
tiroides,tiroides_703.png,gauss s=0.5,0.49699056264806135,0.9669017791748047,0.9839970100822969,0.486360719917307
tiroides,tiroides_703.png,gauss s=0.6,0.3089154454677772,0.9084892272949219,0.962940290678542,0.6278428729424345
tiroides,tiroides_703.png,gauss s=0.8,0.17346335997336676,0.7712699770927429,0.9241272261161106,0.6374828954196541
tiroides,tiroides_703.png,gauss s=1.0,0.13226908531374273,0.6469783186912537,0.8890322403494663,0.5614030882601384
tiroides,tiroides_703.png,gauss s=1.2,0.12002021854706599,0.5551759600639343,0.857625615654674,0.48854362000498375
tiroides,tiroides_703.png,gauss s=1.6,0.11325228321393702,0.3901124596595764,0.7959868132731769,0.3459313328929245
tiroides,tiroides_703.png,gauss s=2.0,0.11020529133180546,0.3010028600692749,0.746091361117212,0.2678307521836338
tiroides,tiroides_705.png,media k=3,0.5705043870745753,0.4158259928226471,0.9728113805847163,0.17859543965768607
tiroides,tiroides_705.png,media k=5,0.5044958659285723,0.17438501119613647,0.91080410900993,0.08640849396777782
tiroides,tiroides_705.png,mediana k=3,1.3935185653709532,0.9534540772438049,0.9851687742132005,-0.3752018806240681
tiroides,tiroides_705.png,mediana k=5,1.1984253084108367,0.9273975491523743,0.9453525249179308,-0.18401914471001396
tiroides,tiroides_705.png,gauss s=0.5,0.76913968809772,0.978929877281189,0.9953815625377616,0.22599605679959592
tiroides,tiroides_705.png,gauss s=0.6,0.6549416574742191,0.9316571354866028,0.9900552233007469,0.3214760669733241
tiroides,tiroides_705.png,gauss s=0.8,0.5710483438413976,0.7925530076026917,0.9791787934396339,0.339966925204656
tiroides,tiroides_705.png,gauss s=1.0,0.545649357878012,0.6602508425712585,0.9656143424817957,0.2999853942838349
tiroides,tiroides_705.png,gauss s=1.2,0.5259581229190492,0.5786310434341431,0.9492570053027216,0.27429534596683036
tiroides,tiroides_705.png,gauss s=1.6,0.5002681833362007,0.46632683277130127,0.9079324099168657,0.23303835529987812
tiroides,tiroides_705.png,gauss s=2.0,0.47630119518686814,0.40927770733833313,0.8636643843294491,0.21433824616974384
tiroides,tiroides_706.png,media k=3,0.6097444655517398,0.23908093571662903,0.9800263356503011,0.0933026583444832
tiroides,tiroides_706.png,media k=5,0.5814814124066491,0.110234834253788,0.9436051178949407,0.04613532713548249
tiroides,tiroides_706.png,mediana k=3,1.315167145799308,0.9613128304481506,0.9908940353155843,-0.3029742209925977
tiroides,tiroides_706.png,mediana k=5,1.298584449459277,0.941586434841156,0.9681720637613535,-0.28114306726537003
tiroides,tiroides_706.png,gauss s=0.5,0.7906461230220793,0.982928991317749,0.9965881526635463,0.20577999512636774
tiroides,tiroides_706.png,gauss s=0.6,0.6933027114733397,0.9409130215644836,0.9925217908454657,0.2885754724532542
tiroides,tiroides_706.png,gauss s=0.8,0.6195784520862919,0.7917453050613403,0.9851864993417501,0.3011969745048461
tiroides,tiroides_706.png,gauss s=1.0,0.5968198736581845,0.6323778033256531,0.9769669863900048,0.25496216264059657
tiroides,tiroides_706.png,gauss s=1.2,0.5855444927277523,0.5313096046447754,0.9670038636319854,0.22020419171166775
tiroides,tiroides_706.png,gauss s=1.6,0.5782762415041657,0.39996227622032166,0.9393764164507723,0.1686735943841831
tiroides,tiroides_706.png,gauss s=2.0,0.5709014176819929,0.3400813639163971,0.9047623065755078,0.14592843112930026
tiroides,tiroides_707.png,media k=3,0.5025920369924723,0.4557821452617645,0.9750394844619856,0.22670966844985538
tiroides,tiroides_707.png,media k=5,0.4518375911711059,0.19025473296642303,0.9253994829589738,0.10429049271397246
tiroides,tiroides_707.png,mediana k=3,1.2813029230980295,0.9032394886016846,0.9854810331815144,-0.2540839084012232
tiroides,tiroides_707.png,mediana k=5,1.141305936833014,0.8445573449134827,0.9512030007793045,-0.11934096683220266
tiroides,tiroides_707.png,gauss s=0.5,0.7379894789162248,0.9764559268951416,0.9963620921185857,0.25584172622113677
tiroides,tiroides_707.png,gauss s=0.6,0.6136279296765181,0.9290322065353394,0.9914797891263107,0.35895209703625164
tiroides,tiroides_707.png,gauss s=0.8,0.5135269470639698,0.7936555743217468,0.9816286005927297,0.38609205021999854
tiroides,tiroides_707.png,gauss s=1.0,0.480904390382137,0.6647931933403015,0.9702020308868313,0.34509122796678965
tiroides,tiroides_707.png,gauss s=1.2,0.46723013015286824,0.5817009806632996,0.9568199688903537,0.309912755757935
