dominio,imagen,sigma_u,alfa,ganancia_borde,amp_ruido,rms_rel,d_entropia
tiroides,tiroides_703.png,1.0,0.5,1.0177700969516272,1.6061778095048624,1.0090448326959818,-0.03722946287388229
tiroides,tiroides_703.png,1.0,1.0,1.0783014694179482,2.023990357046729,1.0159555457284895,-0.07982232334263539
tiroides,tiroides_703.png,1.0,1.5,1.1441382007184546,2.4481457209394857,1.0218896203622654,-0.11643253145516308
tiroides,tiroides_703.png,1.0,2.0,1.2231163129673994,2.8926343752559944,1.0272426254836406,-0.1252694799578995
tiroides,tiroides_703.png,1.5,0.5,1.0701941653375933,1.6241354694503285,1.0148478261252272,-0.08798873567652965
tiroides,tiroides_703.png,1.5,1.0,1.1833295062269018,2.0781207943733837,1.0251218147347414,-0.15192806551602267
tiroides,tiroides_703.png,1.5,1.5,1.3064570662009574,2.5504909246234684,1.0343178716136796,-0.15175210555954877
tiroides,tiroides_703.png,1.5,2.0,1.4377589263135349,3.040017085815262,1.0432558495792166,-0.16965687753663694
tiroides,tiroides_703.png,2.0,0.5,1.1147255426637321,1.625405202981826,1.0198442038411561,-0.13326540792556685
tiroides,tiroides_703.png,2.0,1.0,1.2698267110506873,2.093544838562451,1.03299764791418,-0.16076562841492503
tiroides,tiroides_703.png,2.0,1.5,1.4334216258068817,2.590133526816538,1.0459355881972068,-0.17828259561720383
tiroides,tiroides_703.png,2.0,2.0,1.617255858813965,3.108635358275503,1.058459611015075,-0.19624273144201965
tiroides,tiroides_703.png,3.0,0.5,1.174384491072081,1.6278627517524666,1.02790281472099,-0.15927867363108383
tiroides,tiroides_703.png,3.0,1.0,1.3823247215628203,2.105774069349686,1.0480478186742235,-0.17242934180249225
tiroides,tiroides_703.png,3.0,1.5,1.6066557286055638,2.637248247533674,1.0675324458580187,-0.2156403970796541
tiroides,tiroides_703.png,3.0,2.0,1.799139742842747,3.170518776842869,1.0864634491129899,-0.2649120735840915
tiroides,tiroides_705.png,1.0,0.5,0.997071132119451,1.8082611161323479,1.0132439174339325,0.0590607991309513
tiroides,tiroides_705.png,1.0,1.0,1.0438415191656425,2.169054707852623,1.0239799616889296,0.08659083960284697
tiroides,tiroides_705.png,1.0,1.5,1.0490580128639269,2.594675421340847,1.033210551369523,0.08527427228098272
tiroides,tiroides_705.png,1.0,2.0,1.112517390995401,3.0786502915271052,1.0406221496323258,0.08697406428352572
tiroides,tiroides_705.png,1.5,0.5,1.0371533285097914,1.7889042479663988,1.0232128467267754,0.09378852460300546
tiroides,tiroides_705.png,1.5,1.0,1.092435372811052,2.210404593545643,1.0398168825183693,0.08323253698860267
tiroides,tiroides_705.png,1.5,1.5,1.2067565378948677,2.69474719549152,1.0534204085376604,0.10993070063423627
tiroides,tiroides_705.png,1.5,2.0,1.3168970503239492,3.1787530791996734,1.0666461101597917,0.12150988702553445
