caso,sigma,secuencia,radio,semilla,dice,objetos_ok
A,1.0,ninguna,5,0,0.9386416861826697,0
A,1.0,apertura,3,0,0.9710777185328809,0
A,1.0,apertura,5,0,0.9813664596273292,1
A,1.0,cierre,3,0,0.9345330437480608,0
A,1.0,cierre,5,0,0.9302038295243977,0
A,1.0,ap>ci,3,0,0.9706072351421189,0
A,1.0,ap>ci,5,0,0.9813664596273292,1
A,1.0,ci>ap,3,0,0.9647548862544056,0
A,1.0,ci>ap,5,0,0.9717514124293786,1
A,2.0,ninguna,5,0,0.9499605367008682,0
A,2.0,apertura,3,0,0.9576567971983445,1
A,2.0,apertura,5,0,0.9788480312398308,1
A,2.0,cierre,3,0,0.9492113564668769,0
A,2.0,cierre,5,0,0.9481644871592878,0
A,2.0,ap>ci,3,0,0.9571996817820206,1
A,2.0,ap>ci,5,0,0.9786887912802993,1
A,2.0,ci>ap,3,0,0.9561347743165926,1
A,2.0,ci>ap,5,0,0.9761479798799286,1
A,1.0,ninguna,5,1,0.9386541471048513,0
A,1.0,apertura,3,1,0.962261120925004,0
A,1.0,apertura,5,1,0.9829116003943477,1
A,1.0,cierre,3,1,0.9375780274656679,0
A,1.0,cierre,5,1,0.9367404175755687,0
A,1.0,ap>ci,3,1,0.961205514588009,1
A,1.0,ap>ci,5,1,0.9830786922950551,1
A,1.0,ci>ap,3,1,0.9581870411745931,1
A,1.0,ci>ap,5,1,0.9791463017269468,1
A,2.0,ninguna,5,1,0.9444270015698587,0
A,2.0,apertura,3,1,0.9512966476913346,1
A,2.0,apertura,5,1,0.9732880038853813,1
A,2.0,cierre,3,1,0.9437039360200722,0
A,2.0,cierre,5,1,0.9435559736594544,0
A,2.0,ap>ci,3,1,0.9507109004739337,1
A,2.0,ap>ci,5,1,0.9732880038853813,1
A,2.0,ci>ap,3,1,0.9504106127605811,1
A,2.0,ci>ap,5,1,0.9718901453957997,1
A,1.0,ninguna,5,2,0.9382407985028073,0
A,1.0,apertura,3,2,0.9645321778205745,1
A,1.0,apertura,5,2,0.9829898593392215,1
A,1.0,cierre,3,2,0.9368388301182328,0
A,1.0,cierre,5,2,0.9321771446268194,0
A,1.0,ap>ci,3,2,0.96344982366143,1
A,1.0,ap>ci,5,2,0.9833224329627207,1
A,1.0,ci>ap,3,2,0.9613541999361227,1
A,1.0,ci>ap,5,2,0.974400518470512,1
A,2.0,ninguna,5,2,0.9463414634146341,0
A,2.0,apertura,3,2,0.9574908454067823,1
A,2.0,apertura,5,2,0.9761324890404286,1
A,2.0,cierre,3,2,0.9454488288005031,0
A,2.0,cierre,5,2,0.945300220056586,0
A,2.0,ap>ci,3,2,0.9568814638027049,1
A,2.0,ap>ci,5,2,0.9759740259740259,1
A,2.0,ci>ap,3,2,0.9562728573700111,1
A,2.0,ci>ap,5,2,0.973130462932988,1
A,1.0,ninguna,5,3,0.93588546529723,0
A,1.0,apertura,3,3,0.961741635985273,0
A,1.0,apertura,5,3,0.9847465966868952,1
A,1.0,cierre,3,3,0.9320748878229924,0
A,1.0,cierre,5,3,0.9270769230769231,0
A,1.0,ap>ci,3,3,0.9600638977635783,1
A,1.0,ap>ci,5,3,0.9849130862577894,1
A,1.0,ci>ap,3,3,0.9520948616600791,0
A,1.0,ci>ap,5,3,0.9742843279961184,1
A,2.0,ninguna,5,3,0.9498422712933754,0
A,2.0,apertura,3,3,0.9625719769673704,1
A,2.0,apertura,5,3,0.9804432855280313,1
A,2.0,cierre,3,3,0.9487947061603907,0
A,2.0,cierre,5,3,0.9482297403619198,0
A,2.0,ap>ci,3,3,0.9619565217391305,1
A,2.0,ap>ci,5,3,0.9802835261528434,1
A,2.0,ci>ap,3,3,0.95965555732738,1
A,2.0,ci>ap,5,3,0.9755544762829853,1
A,1.0,ninguna,5,4,0.9274555297757154,0
A,1.0,apertura,3,4,0.9497543192265018,1
A,1.0,apertura,5,4,0.9756972761376611,1
A,1.0,cierre,3,4,0.9239063462723351,0
A,1.0,cierre,5,4,0.9210001533977604,0
A,1.0,ap>ci,3,4,0.9479512735326688,1
A,1.0,ap>ci,5,4,0.9753790966900375,1
A,1.0,ci>ap,3,4,0.946470866887731,1
A,1.0,ci>ap,5,4,0.9658284977433914,1
A,2.0,ninguna,5,4,0.9376075058639562,0
A,2.0,apertura,3,4,0.9400878293601004,0
A,2.0,apertura,5,4,0.9687752790810549,1
A,2.0,cierre,3,4,0.9370214095952493,0
A,2.0,cierre,5,4,0.9364757296706727,0
A,2.0,ap>ci,3,4,0.93876272513704,0
A,2.0,ap>ci,5,4,0.9687853792657286,1
A,2.0,ci>ap,3,4,0.9394984326018809,0
A,2.0,ci>ap,5,4,0.9644408688656476,1
A,1.0,ninguna,5,5,0.9390243902439024,0
A,1.0,apertura,3,5,0.9521242866201649,0
A,1.0,apertura,5,5,0.9826286463454605,1
A,1.0,cierre,3,5,0.9382407985028073,0
A,1.0,cierre,5,5,0.9356143079315707,0
A,1.0,ap>ci,3,5,0.9508144867942432,0
A,1.0,ap>ci,5,5,0.9829619921363041,1
A,1.0,ci>ap,3,5,0.9503949447077409,0
A,1.0,ci>ap,5,5,0.9721772889032676,1
A,2.0,ninguna,5,5,0.9468553459119496,0
A,2.0,apertura,3,5,0.9477329974811083,0
A,2.0,apertura,5,5,0.978377499593562,1
A,2.0,cierre,3,5,0.9465744814582024,0
A,2.0,cierre,5,5,0.9452549019607843,0
A,2.0,ap>ci,3,5,0.94745122718691,0
A,2.0,ap>ci,5,5,0.9783845278725825,1
A,2.0,ci>ap,3,5,0.94745122718691,0
A,2.0,ci>ap,5,5,0.970673541733806,1
A,1.0,ninguna,5,6,0.9347282948157402,0
A,1.0,apertura,3,6,0.9620090148100451,1
A,1.0,apertura,5,6,0.9785421785421785,1
A,1.0,cierre,3,6,0.9327940261356565,0
A,1.0,cierre,5,6,0.9306654257794323,0
A,1.0,ap>ci,3,6,0.9617117117117117,1
A,1.0,ap>ci,5,6,0.9787094660989191,1
A,1.0,ci>ap,3,6,0.9565633982753114,1
A,1.0,ci>ap,5,6,0.9695989650711514,1
A,2.0,ninguna,5,6,0.9481504900411002,0
A,2.0,apertura,3,6,0.9618222649983958,1
A,2.0,apertura,5,6,0.9765472312703583,1
A,2.0,cierre,3,6,0.9472520530638029,0
A,2.0,cierre,5,6,0.9466540404040404,0
A,2.0,ap>ci,3,6,0.9610514505529733,1
