metodo,semilla,precision,exhaustividad,f1
Sobel,0,0.5523932729624839,0.7210626185958254,0.6255578108941459
Gradiente morfologico (r=1),0,0.4554759467758444,0.7352941176470589,0.562507900391387
Black-hat r=4,0,0.8821490467937608,0.9127134724857685,0.89717102129013
Black-hat r=6,0,0.9815436241610739,0.9297912713472486,0.95496681019714
Canny (mejor umbral),0,0.06242720708129513,0.9174573055028463,0.11690009682420961
Sobel,1,0.6794425087108014,0.6622390891840607,0.6707305054004304
Gradiente morfologico (r=1),1,0.4994523548740416,0.7400379506641366,0.5963962695046346
Black-hat r=4,1,0.840630472854641,0.928842504743833,0.8825377090862102
Black-hat r=6,1,0.9749582637729549,0.9468690702087287,0.9607083928793076
Canny (mejor umbral),1,0.07552650689905592,0.8785578747628083,0.13909546925785476
Sobel,2,0.5891783567134269,0.8130929791271347,0.6832583296154278
Gradiente morfologico (r=1),2,0.5676429567642957,0.6622390891840607,0.6113031016387624
Black-hat r=4,2,0.9192982456140351,0.9629981024667932,0.9406409007056971
Black-hat r=6,2,0.9692832764505119,0.9753320683111955,0.9722982648944278
Canny (mejor umbral),2,0.07662664888098414,0.8785578747628083,0.1409590380174715
Sobel,3,0.7478559176672385,0.7172675521821632,0.7322424280117451
Gradiente morfologico (r=1),3,0.6348122866894198,0.6518026565464896,0.6431952886098665
Black-hat r=4,3,0.9061433447098977,0.9658444022770398,0.9350418864192366
Black-hat r=6,3,0.9573400250941029,0.9848197343453511,0.9708854738736566
Canny (mejor umbral),3,0.07223855522889543,0.8804554079696395,0.13352205235265735
Sobel,4,0.5842985842985843,0.7106261859582542,0.6413003812387255
Gradiente morfologico (r=1),4,0.42637759710930445,0.7324478178368121,0.5389929087660981
Black-hat r=4,4,0.8821490467937608,0.920303605313093,0.9008224956571317
Black-hat r=6,4,0.9879101899827288,0.967741935483871,0.9777220671181827
Canny (mejor umbral),4,0.06593270658090054,0.8614800759013282,0.12249068406757993
Sobel,5,0.6272040302267002,0.75426944971537,0.6848931168158955
Gradiente morfologico (r=1),5,0.5016042780748663,0.7305502846299811,0.5948071113975849
Black-hat r=4,5,0.893760539629005,0.9506641366223909,0.9213345523873263
Black-hat r=6,5,0.9815436241610739,0.9772296015180265,0.979381862214751
Canny (mejor umbral),5,0.07657981862674536,0.9070208728652751,0.1412351466106872
Sobel,6,0.6325757575757576,0.7504743833017078,0.6864999142500272
Gradiente morfologico (r=1),6,0.5647226173541963,0.6717267552182163,0.6135945389565878
Black-hat r=4,6,0.8622448979591837,0.9392789373814042,0.8991149110875638
Black-hat r=6,6,0.969439728353141,0.9449715370018975,0.9570492680549457
Canny (mejor umbral),6,0.06940975417378731,0.9155597722960152,0.12903704534732907
Sobel,7,0.57625,0.7324478178368121,0.645027521671578
Gradiente morfologico (r=1),7,0.5007132667617689,0.6252371916508539,0.5560893987707718
Black-hat r=4,7,0.9324675324675324,0.8396584440227703,0.8836327076065328
Black-hat r=6,7,0.9740034662045061,0.9629981024667932,0.9684695200261891
Canny (mejor umbral),7,0.0689936167323102,0.8766603415559773,0.1279198740290715
Sobel,8,0.6694915254237288,0.6736242884250474,0.6715515486747152
Gradiente morfologico (r=1),8,0.5357142857142857,0.7020872865275142,0.6077196824522875
Black-hat r=4,8,0.8477157360406091,0.9459203036053131,0.8941295878113411
Black-hat r=6,8,0.9776632302405498,0.976280834914611,0.9769715435618442
Canny (mejor umbral),8,0.07669407428409412,0.9098671726755219,0.14146394001348986
Sobel,9,0.6559278350515464,0.7912713472485768,0.7172708609658209
Gradiente morfologico (r=1),9,0.5688202247191011,0.706831119544592,0.6303600714497153
Black-hat r=4,9,0.9144851657940664,0.9867172675521821,0.9492290649141161
Black-hat r=6,9,0.9826689774696707,0.9781783681214421,0.980418530739413
Canny (mejor umbral),9,0.07692307692307693,0.8975332068311196,0.14170161773502535
Sobel,10,0.6325757575757576,0.7884250474383302,0.7019539607786625
Gradiente morfologico (r=1),10,0.614100185528757,0.6328273244781784,0.6233231270472862
Black-hat r=4,10,0.9172535211267606,0.9070208728652751,0.9121084987112059
Black-hat r=6,10,0.998272884283247,0.9886148007590133,0.9934203689800614
Canny (mejor umbral),10,0.06975498728076047,0.8851992409867173,0.12931941650842682
Sobel,11,0.7741935483870968,0.7058823529411765,0.7384615384610396
Gradiente morfologico (r=1),11,0.6808873720136519,0.6537001897533207,0.6670168627921728
Black-hat r=4,11,0.9103448275862069,0.920303605313093,0.9152971284370468
Black-hat r=6,11,1.0,0.9848197343453511,0.9923518164430947
Canny (mejor umbral),11,0.07679882525697504,0.8738140417457305,0.14118868832618034
Sobel,12,0.47236614853195164,0.7770398481973435,0.5875549201931111
Gradiente morfologico (r=1),12,0.469910371318822,0.6309297912713473,0.538643960435758
Black-hat r=4,12,0.8224956063268892,0.9307400379506642,0.8732763269388748
Black-hat r=6,12,0.9675213675213675,0.961100569259962,0.9643002802792583
Canny (mejor umbral),12,0.0668042300748001,0.8709677419354839,0.12409057032318102
Sobel,13,0.6637168141592921,0.7817836812144212,0.7179284627264697
Gradiente morfologico (r=1),13,0.6370106761565836,0.642314990512334,0.6396518370131948
Black-hat r=4,13,0.8964285714285715,0.928842504743833,0.9123477279388474
Black-hat r=6,13,0.991304347826087,0.9639468690702088,0.9774342182985432
Canny (mejor umbral),13,0.07310879443998931,0.8927893738140418,0.13515038531710682
Sobel,14,0.6649810366624526,0.7580645161290323,0.7084784135030628
Gradiente morfologico (r=1),14,0.6221033868092691,0.6309297912713473,0.6264855023067947
Black-hat r=4,14,0.9177330895795247,0.9297912713472486,0.9237228305764607
Black-hat r=6,14,0.9788732394366197,0.9259962049335864,0.9517008186653626
Canny (mejor umbral),14,0.0756574321473773,0.8776091081593927,0.13930553259753045
Sobel,15,0.6277278562259306,0.7571157495256167,0.686377356100566
Gradiente morfologico (r=1),15,0.501039501039501,0.7950664136622391,0.6147023552252779
Black-hat r=4,15,0.9114139693356048,0.9487666034155597,0.9297152638387898
Black-hat r=6,15,0.9655172413793104,0.9686907020872866,0.9671013683796018
Canny (mejor umbral),15,0.07629777524244152,0.889943074003795,0.140546069216196
Sobel,16,0.6522292993630573,0.801707779886148,0.7192846389731149
Gradiente morfologico (r=1),16,0.5890014471780028,0.7049335863377609,0.6417739558203893
Black-hat r=4,16,0.8979591836734694,0.9876660341555977,0.9406787492935402
Black-hat r=6,16,0.9915966386554622,0.9658444022770398,0.9785511213204838
Canny (mejor umbral),16,0.07961222091656875,0.9430740037950665,0.1468294264976584
Sobel,17,0.6924066924066924,0.7969639468690702,0.7410152394127506
Gradiente morfologico (r=1),17,0.6660714285714285,0.6660341555977229,0.6660527915626175
Black-hat r=4,17,0.924956369982548,0.9620493358633776,0.9431382837763354
Black-hat r=6,17,0.9630872483221476,0.9772296015180265,0.9701068853594546
Canny (mejor umbral),17,0.07267833109017496,0.9402277039848197,0.13492698829706723
Sobel,18,0.6411238825031929,0.7836812144212524,0.7052708386835047
Gradiente morfologico (r=1),18,0.5678321678321678,0.6963946869070209,0.6255764987914031
Black-hat r=4,18,0.9109243697478991,0.9430740037950665,0.9267204381528297
Black-hat r=6,18,0.972318339100346,0.9335863377609108,0.9525587804662989
Canny (mejor umbral),18,0.07407407407407407,0.920303605313093,0.13711216340363624
Sobel,19,0.7435897435897436,0.6821631878557874,0.7115532274296714
Gradiente morfologico (r=1),19,0.5727272727272728,0.7001897533206831,0.6300768386383634
Black-hat r=4,19,0.8911222780569514,0.9345351043643264,0.9123125282361493
Black-hat r=6,19,0.9848484848484849,0.9345351043643264,0.9590323547029155
Canny (mejor umbral),19,0.06989462451647326,0.8795066413662239,0.12949800820166008
Sobel,20,0.6326002587322122,0.7485768500948766,0.6857193129312205
Gradiente morfologico (r=1),20,0.5264663805436338,0.6555977229601518,0.583978752550084
Black-hat r=4,20,0.8312829525483304,0.9098671726755219,0.8688016716890892
