dominio,imagen,unsharp,secuencia,componentes,pequenas,area,estabilidad,comp_base
tiroides,tiroides_703.png,False,ninguna,9,0.7777777777777778,81.01957514044943,0.9983247023656142,9
tiroides,tiroides_703.png,False,apertura,2,0.0,80.3930389747191,0.9983227743112733,9
tiroides,tiroides_703.png,False,cierre,5,0.6,82.29020365168539,0.9981343826952744,9
tiroides,tiroides_703.png,False,ap>ci,2,0.0,81.24341643258427,0.9982667248953541,9
tiroides,tiroides_703.png,False,ci>ap,2,0.0,82.22436797752809,0.9983792409446051,9
tiroides,tiroides_703.png,True,ninguna,23,0.9130434782608695,80.55214185393258,0.9965693045170646,9
tiroides,tiroides_703.png,True,apertura,2,0.0,79.05876931179775,0.9973393746814132,9
tiroides,tiroides_703.png,True,cierre,9,0.7777777777777778,82.76531776685393,0.9936971965264761,9
tiroides,tiroides_703.png,True,ap>ci,2,0.0,80.43254037921348,0.9986206414841493,9
tiroides,tiroides_703.png,True,ci>ap,2,0.0,82.51733672752809,0.9943779263540818,9
tiroides,tiroides_705.png,False,ninguna,51,0.8431372549019608,60.748668328202115,0.9789360241274999,51
tiroides,tiroides_705.png,False,apertura,12,0.3333333333333333,56.94973855250941,0.9804911422017145,51
tiroides,tiroides_705.png,False,cierre,17,0.5882352941176471,67.72650637736403,0.9728533304292437,51
tiroides,tiroides_705.png,False,ap>ci,10,0.3,61.0192786981381,0.9812223903074452,51
tiroides,tiroides_705.png,False,ci>ap,9,0.3333333333333333,66.58114645946343,0.9717975099466627,51
tiroides,tiroides_705.png,True,ninguna,123,0.9186991869918699,62.189072960953915,0.970427587343483,51
tiroides,tiroides_705.png,True,apertura,14,0.2857142857142857,55.758564237892784,0.9791199063920321,51
tiroides,tiroides_705.png,True,cierre,37,0.8648648648648649,72.5046425255339,0.9627843467427558,51
tiroides,tiroides_705.png,True,ap>ci,10,0.4,60.18728925377511,0.9818716326753164,51
tiroides,tiroides_705.png,True,ci>ap,7,0.0,71.40021013536627,0.9621518607274474,51
tiroides,tiroides_706.png,False,ninguna,24,0.8333333333333334,76.12551754194814,0.9771870788668157,24
tiroides,tiroides_706.png,False,apertura,10,0.5,71.6302960495595,0.971725316719608,24
tiroides,tiroides_706.png,False,cierre,10,0.8,83.69828471811475,0.9812590978660375,24
tiroides,tiroides_706.png,False,ap>ci,5,0.4,76.38016374560283,0.9747695196336613,24
tiroides,tiroides_706.png,False,ci>ap,4,0.25,82.29990972200603,0.979632054046179,24
tiroides,tiroides_706.png,True,ninguna,37,0.8918918918918919,78.69688385269122,0.9785784020991107,24
tiroides,tiroides_706.png,True,apertura,14,0.5,72.60529838433521,0.9747714997651343,24
tiroides,tiroides_706.png,True,cierre,8,0.75,87.92889829717025,0.9788155889432729,24
tiroides,tiroides_706.png,True,ap>ci,4,0.25,77.85013853002522,0.9780868092008266,24
tiroides,tiroides_706.png,True,ci>ap,3,0.0,86.70921146841827,0.9761009909614681,24
tiroides,tiroides_707.png,False,ninguna,11,0.6363636363636364,86.87646718606472,0.9902395074435746,11
tiroides,tiroides_707.png,False,apertura,7,0.14285714285714285,84.47045214847073,0.9883825180133305,11
tiroides,tiroides_707.png,False,cierre,2,0.5,93.49777157826693,0.9925539884599655,11
tiroides,tiroides_707.png,False,ap>ci,4,0.25,89.02187595686047,0.9904703156361525,11
tiroides,tiroides_707.png,False,ci>ap,3,0.0,93.16844146565508,0.9916688877900799,11
tiroides,tiroides_707.png,True,ninguna,20,0.8,88.27543973054809,0.9925672070455627,11
tiroides,tiroides_707.png,True,apertura,7,0.0,85.09985370666485,0.9901208361846038,11
tiroides,tiroides_707.png,True,cierre,2,0.5,95.8309801653455,0.9937800472392593,11
tiroides,tiroides_707.png,True,ap>ci,3,0.0,89.786003470214,0.9913442361136209,11
tiroides,tiroides_707.png,True,ci>ap,1,0.0,95.6472629537645,0.9932954032374468,11
tiroides,tiroides_708.png,False,ninguna,79,0.8734177215189873,63.03285256410256,0.9587885812748076,79
tiroides,tiroides_708.png,False,apertura,10,0.0,54.83072916666667,0.9472335475852519,79
tiroides,tiroides_708.png,False,cierre,11,0.8181818181818182,71.78585737179488,0.966518507021182,79
tiroides,tiroides_708.png,False,ap>ci,6,0.0,57.37980769230769,0.9498665830714511,79
tiroides,tiroides_708.png,False,ci>ap,5,0.0,70.94851762820514,0.96447530807328,79
tiroides,tiroides_708.png,True,ninguna,128,0.9296875,63.31029647435897,0.9695381285045266,79
tiroides,tiroides_708.png,True,apertura,14,0.2857142857142857,48.48257211538461,0.9535005813894628,79
tiroides,tiroides_708.png,True,cierre,12,0.8333333333333334,77.47796474358975,0.977842535519096,79
tiroides,tiroides_708.png,True,ap>ci,8,0.25,51.39423076923077,0.953104529399194,79
tiroides,tiroides_708.png,True,ci>ap,2,0.0,76.77283653846155,0.9774776545608702,79
tiroides,tiroides_709.png,False,ninguna,2,0.5,85.44844044844044,0.9982458496391534,2
tiroides,tiroides_709.png,False,apertura,1,0.0,85.16927516927517,0.9984327265471741,2
tiroides,tiroides_709.png,False,cierre,1,0.0,88.36663336663337,0.9985783704275485,2
tiroides,tiroides_709.png,False,ap>ci,1,0.0,87.81995781995782,0.9986839189918258,2
tiroides,tiroides_709.png,False,ci>ap,1,0.0,88.34054834054834,0.9986259809393969,2
tiroides,tiroides_709.png,True,ninguna,2,0.5,85.8064158064158,0.9981240682577645,2
tiroides,tiroides_709.png,True,apertura,2,0.0,85.4029304029304,0.9983282811898224,2
tiroides,tiroides_709.png,True,cierre,2,0.5,88.74847374847374,0.9989431595142749,2
tiroides,tiroides_709.png,True,ap>ci,1,0.0,88.04306804306805,0.9990242304268858,2
tiroides,tiroides_709.png,True,ci>ap,1,0.0,88.6957486957487,0.9989945812009151,2
tiroides,tiroides_710.png,False,ninguna,26,0.8076923076923077,71.5521579869406,0.9946348668176638,26
tiroides,tiroides_710.png,False,apertura,5,0.2,68.34145564580348,0.9941810925851552,26
tiroides,tiroides_710.png,False,cierre,7,0.7142857142857143,78.13027552157988,0.9957574824057756,26
tiroides,tiroides_710.png,False,ap>ci,3,0.0,72.81860168816691,0.9954685062060299,26
tiroides,tiroides_710.png,False,ci>ap,4,0.5,77.38748208313426,0.99556867441886,26
tiroides,tiroides_710.png,True,ninguna,27,0.7777777777777778,71.92482879439402,0.992020781381683,26
tiroides,tiroides_710.png,True,apertura,9,0.3333333333333333,66.96735148909062,0.9898538686724855,26
tiroides,tiroides_710.png,True,cierre,3,0.6666666666666666,80.35228539576366,0.9969433856742828,26
tiroides,tiroides_710.png,True,ap>ci,4,0.5,72.25354355789139,0.9918522071877899,26
tiroides,tiroides_710.png,True,ci>ap,2,0.0,79.55534320751711,0.9968491300171204,26
tiroides,tiroides_712.png,False,ninguna,29,0.7931034482758621,61.525776571856284,0.9925203828345612,29
tiroides,tiroides_712.png,False,apertura,13,0.0,56.15409805389222,0.9909278878180655,29
tiroides,tiroides_712.png,False,cierre,7,0.5714285714285714,68.10207709580838,0.9923466617185639,29
tiroides,tiroides_712.png,False,ap>ci,5,0.0,59.62761976047904,0.9905344574052454,29
tiroides,tiroides_712.png,False,ci>ap,7,0.0,66.71617702095809,0.9924228762324286,29
tiroides,tiroides_712.png,True,ninguna,63,0.9206349206349206,61.7000374251497,0.9919466822436122,29
tiroides,tiroides_712.png,True,apertura,16,0.125,52.71683196107785,0.9912724567312151,29
tiroides,tiroides_712.png,True,cierre,16,0.8125,72.05510853293413,0.994424856398373,29
tiroides,tiroides_712.png,True,ap>ci,7,0.14285714285714285,56.27222118263473,0.9925214199734271,29
tiroides,tiroides_712.png,True,ci>ap,4,0.0,70.71949850299401,0.9933673137197433,29
tiroides,tiroides_715.png,False,ninguna,28,0.8571428571428571,11.708572457986978,0.9829455224533171,28
tiroides,tiroides_715.png,False,apertura,4,0.0,10.899451836219987,0.989188178100601,28
tiroides,tiroides_715.png,False,cierre,11,0.7272727272727273,12.490928275471601,0.9786493536197387,28
tiroides,tiroides_715.png,False,ap>ci,4,0.0,11.028643487659881,0.9897874295725719,28
tiroides,tiroides_715.png,False,ci>ap,4,0.25,12.151735851970043,0.9797478114332101,28
tiroides,tiroides_715.png,True,ninguna,55,0.9090909090909091,11.95717631314821,0.9714888717345346,28
tiroides,tiroides_715.png,True,apertura,5,0.0,10.263273026739068,0.9800767105073112,28
tiroides,tiroides_715.png,True,cierre,21,0.8571428571428571,13.576961680006178,0.9687684128601123,28
tiroides,tiroides_715.png,True,ap>ci,4,0.0,10.48408266206861,0.9826644673330401,28
tiroides,tiroides_715.png,True,ci>ap,4,0.25,13.037547932161514,0.9719798659256652,28
tiroides,tiroides_719.png,False,ninguna,17,0.9411764705882353,77.12413769196104,0.9953063514926365,17
tiroides,tiroides_719.png,False,apertura,6,0.5,72.72437341837973,0.9936587303265233,17
tiroides,tiroides_719.png,False,cierre,7,0.8571428571428571,83.67039900162928,0.997840683131939,17
tiroides,tiroides_719.png,False,ap>ci,4,0.5,76.67903074843137,0.9942386265883743,17
tiroides,tiroides_719.png,False,ci>ap,1,0.0,83.34176864145319,0.9978268652819021,17
tiroides,tiroides_719.png,True,ninguna,40,0.975,75.6231150552917,0.9915754080026238,17
tiroides,tiroides_719.png,True,apertura,6,0.3333333333333333,67.17301625818976,0.9860929917799797,17
tiroides,tiroides_719.png,True,cierre,13,0.8461538461538461,85.07297119284502,0.9958777630601098,17
tiroides,tiroides_719.png,True,ap>ci,3,0.0,72.05255312510833,0.9878281133416446,17
tiroides,tiroides_719.png,True,ci>ap,1,0.0,84.56893264464243,0.9961982230568266,17
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,False,ninguna,56,0.8392857142857143,47.19921875,0.9417712216358519,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,False,apertura,12,0.6666666666666666,45.3291015625,0.9397272823749248,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,False,cierre,18,0.5555555555555556,48.26953125,0.9419541065999665,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,False,ap>ci,11,0.6363636363636364,45.603841145833336,0.9402940352245159,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,False,ci>ap,13,0.38461538461538464,47.368815104166664,0.9406208965248251,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,True,ninguna,164,0.9390243902439024,47.229166666666664,0.9394010911994313,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,True,apertura,11,0.6363636363636364,44.134114583333336,0.9329807982526317,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,True,cierre,43,0.8604651162790697,49.655598958333336,0.9418618585856632,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,True,ap>ci,8,0.5,44.548502604166664,0.9370654114405204,56
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,True,ci>ap,14,0.5714285714285714,48.578776041666664,0.940794207396373,56
clima,clima_02_lyell_glacier_1883_2015.jpg,False,ninguna,500,0.988,43.44776459854015,0.9904315384453272,500
clima,clima_02_lyell_glacier_1883_2015.jpg,False,apertura,10,0.2,36.55850821167883,0.9962359736117691,500
clima,clima_02_lyell_glacier_1883_2015.jpg,False,cierre,70,0.9285714285714286,53.4146897810219,0.990812056448088,500
clima,clima_02_lyell_glacier_1883_2015.jpg,False,ap>ci,3,0.0,37.580976277372265,0.9962363356363811,500
clima,clima_02_lyell_glacier_1883_2015.jpg,False,ci>ap,9,0.2222222222222222,51.25741332116789,0.9904041066245807,500
clima,clima_02_lyell_glacier_1883_2015.jpg,True,ninguna,911,0.9846322722283205,46.433622262773724,0.9850889673324614,500
clima,clima_02_lyell_glacier_1883_2015.jpg,True,apertura,13,0.3076923076923077,34.502166970802925,0.9860048276014689,500
clima,clima_02_lyell_glacier_1883_2015.jpg,True,cierre,85,0.9411764705882353,64.2763458029197,0.9878332423794118,500
clima,clima_02_lyell_glacier_1883_2015.jpg,True,ap>ci,4,0.0,35.52577554744526,0.9856212611773603,500
clima,clima_02_lyell_glacier_1883_2015.jpg,True,ci>ap,7,0.14285714285714285,61.64632755474453,0.9894957076440014,500
clima,clima_03_terminal_moraine.jpg,False,ninguna,207,0.9903381642512077,31.08607198748044,0.9911252694737015,207
clima,clima_03_terminal_moraine.jpg,False,apertura,2,0.0,28.462180490349503,0.997659018782023,207
clima,clima_03_terminal_moraine.jpg,False,cierre,41,0.926829268292683,34.99791340636411,0.9905557982168114,207
clima,clima_03_terminal_moraine.jpg,False,ap>ci,2,0.0,28.52738654147105,0.9977587748146198,207
clima,clima_03_terminal_moraine.jpg,False,ci>ap,8,0.0,33.737089201877936,0.9906698446968397,207
clima,clima_03_terminal_moraine.jpg,True,ninguna,596,0.9966442953020134,32.887323943661976,0.9845699979875452,207
clima,clima_03_terminal_moraine.jpg,True,apertura,2,0.0,28.09076682316119,0.9952460143098101,207
clima,clima_03_terminal_moraine.jpg,True,cierre,197,0.9898477157360406,40.64058424621805,0.9819851913595473,207
clima,clima_03_terminal_moraine.jpg,True,ap>ci,2,0.0,28.167449139280127,0.9955604610596605,207
clima,clima_03_terminal_moraine.jpg,True,ci>ap,7,0.2857142857142857,38.76108502869066,0.9840121336051025,207
clima,clima_04_brevent_chamonix.jpg,False,ninguna,498,0.9839357429718876,42.6752781030445,0.981378460279068,498
clima,clima_04_brevent_chamonix.jpg,False,apertura,15,0.4,34.85911885245901,0.9773388896556431,498
clima,clima_04_brevent_chamonix.jpg,False,cierre,39,0.8974358974358975,52.53988583138174,0.9864085798533812,498
clima,clima_04_brevent_chamonix.jpg,False,ap>ci,9,0.4444444444444444,36.559938524590166,0.9787476389733539,498
clima,clima_04_brevent_chamonix.jpg,False,ci>ap,13,0.15384615384615385,51.27671252927401,0.9870520315688909,498
clima,clima_04_brevent_chamonix.jpg,True,ninguna,873,0.9885452462772051,39.65529859484778,0.9658742543071391,498
clima,clima_04_brevent_chamonix.jpg,True,apertura,36,0.6111111111111112,24.16898419203747,0.9393007308650708,498
clima,clima_04_brevent_chamonix.jpg,True,cierre,70,0.9571428571428572,56.165471311475414,0.9791191440016084,498
clima,clima_04_brevent_chamonix.jpg,True,ap>ci,22,0.6363636363636364,25.56974531615925,0.9434007082485358,498
clima,clima_04_brevent_chamonix.jpg,True,ci>ap,8,0.25,54.83350409836065,0.9775928991705601,498
clima,clima_05_hurricane_michael.jpg,False,ninguna,339,0.976401179941003,55.88140213214603,0.9897921531140673,339
clima,clima_05_hurricane_michael.jpg,False,apertura,21,0.6190476190476191,46.95129567178763,0.9914373202307988,339
clima,clima_05_hurricane_michael.jpg,False,cierre,62,0.9516129032258065,65.28172687664852,0.988178557767459,339
clima,clima_05_hurricane_michael.jpg,False,ap>ci,12,0.6666666666666666,49.18152629916169,0.9934395382540494,339
clima,clima_05_hurricane_michael.jpg,False,ci>ap,11,0.2727272727272727,63.70135261228298,0.9884925707603672,339
clima,clima_05_hurricane_michael.jpg,True,ninguna,643,0.9813374805598756,55.61800642141844,0.9789566138764488,339
clima,clima_05_hurricane_michael.jpg,True,apertura,31,0.7419354838709677,38.42307890115865,0.9725688549352745,339
clima,clima_05_hurricane_michael.jpg,True,cierre,78,0.9102564102564102,70.92875458279147,0.969419779616915,339
