dominio,imagen,radio,componentes,area
tiroides,tiroides_703.png,2,2,81.21159585674157
tiroides,tiroides_703.png,3,2,81.28730688202246
tiroides,tiroides_703.png,5,2,81.24341643258427
tiroides,tiroides_703.png,7,2,81.35862886235955
tiroides,tiroides_703.png,9,2,81.07224367977528
tiroides,tiroides_705.png,2,24,60.26975516786395
tiroides,tiroides_705.png,3,18,62.477398230953426
tiroides,tiroides_705.png,5,10,61.0192786981381
tiroides,tiroides_705.png,7,5,58.88310609392562
tiroides,tiroides_705.png,9,5,57.02731759761521
tiroides,tiroides_706.png,2,18,76.52709896335959
tiroides,tiroides_706.png,3,12,78.24736170345236
tiroides,tiroides_706.png,5,5,76.38016374560283
tiroides,tiroides_706.png,7,3,73.8243626062323
tiroides,tiroides_706.png,9,2,71.51573638825764
tiroides,tiroides_707.png,2,6,87.13367128227809
tiroides,tiroides_707.png,3,5,88.95927601809954
tiroides,tiroides_707.png,5,4,89.02187595686047
tiroides,tiroides_707.png,7,3,88.21896369883986
tiroides,tiroides_707.png,9,3,87.9059640050352
tiroides,tiroides_708.png,2,21,62.09535256410257
tiroides,tiroides_708.png,3,14,60.862379807692314
tiroides,tiroides_708.png,5,6,57.37980769230769
tiroides,tiroides_708.png,7,4,53.96334134615385
tiroides,tiroides_708.png,9,4,51.61858974358975
tiroides,tiroides_709.png,2,1,85.44233544233543
tiroides,tiroides_709.png,3,1,87.18781218781218
tiroides,tiroides_709.png,5,1,87.81995781995782
tiroides,tiroides_709.png,7,1,87.8954378954379
tiroides,tiroides_709.png,9,1,87.72116772116773
tiroides,tiroides_710.png,2,9,71.63178850135372
tiroides,tiroides_710.png,3,8,74.09778627169932
tiroides,tiroides_710.png,5,3,72.81860168816691
tiroides,tiroides_710.png,7,3,71.66873706004141
tiroides,tiroides_710.png,9,1,70.50931677018633
tiroides,tiroides_712.png,2,14,61.14450785928144
tiroides,tiroides_712.png,3,10,60.48021145209581
tiroides,tiroides_712.png,5,5,59.62761976047904
tiroides,tiroides_712.png,7,4,56.66986339820359
tiroides,tiroides_712.png,9,5,53.660647455089816
tiroides,tiroides_715.png,2,10,11.549013047842088
tiroides,tiroides_715.png,3,7,11.413644903106261
tiroides,tiroides_715.png,5,4,11.028643487659881
